Session, greedus32:        	Garbage collected 9 outgoing messages in DC 4, 0 left
PingLoop, greedus32:       	Ping DC 4.0
PingLoop, greedus32:       	Ping DC 4.0
Session, greedus32:        	Garbage collected 8 incoming messages in DC 4, 0 left
Session, greedus32:        	Garbage collected 8 outgoing messages in DC 4, 0 left
SessionPaths, greedus32:   	Waiting for exclusive lock of D:\Program\OSPanel\home\uraboros\storage\app/private/session/session.madeline\safe.php.lock...
SessionPaths, greedus32:   	Got exclusive lock of D:\Program\OSPanel\home\uraboros\storage\app/private/session/session.madeline\safe.php.lock...
SessionPaths, greedus32:   	Waiting for exclusive lock of D:\Program\OSPanel\home\uraboros\storage\app/private/session/session.madeline\lightState.php.lock...
SessionPaths, greedus32:   	Got exclusive lock of D:\Program\OSPanel\home\uraboros\storage\app/private/session/session.madeline\lightState.php.lock...
APIWrapper, greedus32:     	Saved session!
PingLoop, greedus32:       	Ping DC 4.0
PingLoop, greedus32:       	Ping DC 4.0
Session, greedus32:        	Garbage collected 8 incoming messages in DC 4, 0 left
Session, greedus32:        	Garbage collected 8 outgoing messages in DC 4, 0 left
PingLoop, greedus32:       	Ping DC 4.0
PingLoop, greedus32:       	Ping DC 4.0
Session, greedus32:        	Garbage collected 8 incoming messages in DC 4, 0 left
Session, greedus32:        	Garbage collected 8 outgoing messages in DC 4, 0 left
PingLoop, greedus32:       	Ping DC 4.0
PingLoop, greedus32:       	Ping DC 4.0
Session, greedus32:        	Garbage collected 8 incoming messages in DC 4, 0 left
Session, greedus32:        	Garbage collected 8 outgoing messages in DC 4, 0 left
SessionPaths, greedus32:   	Waiting for exclusive lock of D:\Program\OSPanel\home\uraboros\storage\app/private/session/session.madeline\safe.php.lock...
SessionPaths, greedus32:   	Got exclusive lock of D:\Program\OSPanel\home\uraboros\storage\app/private/session/session.madeline\safe.php.lock...
SessionPaths, greedus32:   	Waiting for exclusive lock of D:\Program\OSPanel\home\uraboros\storage\app/private/session/session.madeline\lightState.php.lock...
SessionPaths, greedus32:   	Got exclusive lock of D:\Program\OSPanel\home\uraboros\storage\app/private/session/session.madeline\lightState.php.lock...
APIWrapper, greedus32:     	Saved session!
PingLoop, greedus32:       	Ping DC 4.0
PingLoop, greedus32:       	Ping DC 4.0
Session, greedus32:        	Garbage collected 8 incoming messages in DC 4, 0 left
Session, greedus32:        	Garbage collected 8 outgoing messages in DC 4, 0 left
PingLoop, greedus32:       	Ping DC 4.0
PingLoop, greedus32:       	Ping DC 4.0
Session, greedus32:        	Garbage collected 8 incoming messages in DC 4, 0 left
Session, greedus32:        	Garbage collected 8 outgoing messages in DC 4, 0 left
PingLoop, greedus32:       	Ping DC 4.0
PingLoop, greedus32:       	Ping DC 4.0
Session, greedus32:        	Garbage collected 8 incoming messages in DC 4, 0 left
Session, greedus32:        	Garbage collected 8 outgoing messages in DC 4, 0 left
SessionPaths, greedus32:   	Waiting for exclusive lock of D:\Program\OSPanel\home\uraboros\storage\app/private/session/session.madeline\safe.php.lock...
SessionPaths, greedus32:   	Got exclusive lock of D:\Program\OSPanel\home\uraboros\storage\app/private/session/session.madeline\safe.php.lock...
SessionPaths, greedus32:   	Waiting for exclusive lock of D:\Program\OSPanel\home\uraboros\storage\app/private/session/session.madeline\lightState.php.lock...
SessionPaths, greedus32:   	Got exclusive lock of D:\Program\OSPanel\home\uraboros\storage\app/private/session/session.madeline\lightState.php.lock...
APIWrapper, greedus32:     	Saved session!
PingLoop, greedus32:       	Ping DC 4.0
PingLoop, greedus32:       	Ping DC 4.0
